,년도,학기,학수번호,과목명,이수구분,교양영역,과목유형,학점,점수,등급,평점,재수강년도,재수강학기,재수강과목,삭제구분
0,군복무중이수,,GECE10600,감정과삶,교양,윤리와사상,군복무중이수과목,3,100,P,0.0,,,,
1,2017,1,BUSS16301,경영학입문(영강),교양,전공관련교양,,3,89,B+,3.5,,,,
2,2017,1,GEKS001AN,1학년 세미나,교양,1학년세미나,,1,0,P,0.0,,,,
3,2017,1,GEST14400,컴퓨팅사고력과일상의빅데이터,교양,과학과기술,,3,94,A,4.0,,,,
4,2017,1,GETE01102,사고와표현Ⅰ,교양,사고와표현,,2,79,C+,2.5,,,,
5,2017,1,IFLS00302,ACADEMIC ENGLISH I(영강),교양,ACADEMIC ENGLISH,,2,89,B+,3.5,,,,
6,2017,1,IFLS25208,교양일본어Ⅰ(외국어강의),교양,전공관련교양(제2외국어),,3,100,A+,4.5,,,,
7,2017,1,ECON12006,경제원론I,전공필수,,,3,94,A,4.0,,,,
8,2017,2,BUSS15207,회계학원리(영강),교양,전공관련교양,,3,100,A+,4.5,,,,
9,2017,2,BUSS15402,경영통계,교양,전공관련교양,,3,89,B+,3.5,,,,
10,2017,2,GECT00101,정보적사고,교양,정보적사고,,1,0,P,0.0,,,,
11,2017,2,GESO07300,인간관계론,교양,사회의이해,,3,89,B+,3.5,,,,
12,2017,2,GETE01302,사고와표현Ⅱ,교양,사고와표현,,2,89,B+,3.5,,,,
13,2017,2,SPGE19402,Campus CEO 2.0(Ⅰ),교양,선택교양,,3,94,A,4.0,,,,
14,2017,2,BUSS21101,오퍼레이션스관리,전공필수,,,3,100,A+,4.5,,,,
15,2017,2,ECON20307,경제원론II,전공필수,,,3,89,B+,3.5,,,,
16,2018,1,GEFC01600,그림을통해본일본고전문학과문화,교양,세계의문화,,3,89,B+,3.5,,,,
17,2018,1,HOEW12100,실크로드와동서문화교류,교양,선택교양,,3,89,B+,3.5,,,,
18,2018,1,IFLS25701,영상일본어(외국어강의),교양,전공관련교양,,3,100,A+,4.5,,,,
19,2018,1,BUSS20503,마케팅원론,전공필수,,,3,89,B+,3.5,,,,
20,2018,1,BUSS20702,재무관리(영강),전공필수,,,3,89,B+,3.5,,,,
21,2018,1,BUSS21302,중급회계I(영강),전공필수,,,3,100,A+,4.5,,,,
22,2018,여름계절,BUSS20300,경영수학,전공선택,,,3,94,A,4.0,,,,
23,2018,2,GELA13100,한국의젊은시인들,교양,문학과예술,,3,89,B+,3.5,,,,
24,2018,2,BUSS25402,투자론(영강),전공선택,,,3,89,B+,3.5,,,,
25,2018,2,BUSS35200,세무회계,전공선택,,,3,94,A,4.0,,,,
26,2018,2,BUSS38402,기업재무(영강),전공선택,,,3,100,A+,4.5,,,,
27,2018,2,BUSS21501,경영정보시스템,전공필수,,,3,89,B+,3.5,,,,
